,Fecha,Casos,Incidencia Euskadi,Incidencia Araba,Incidencia Bizkaia,Incidencia Gipuzkoa
107,2020-10-16,841,323.81,264.05,266.7,426.8
108,2020-10-17,742,343.14,282.35,278.86,458.17
109,2020-10-18,657,360.74,290.88,296.28,479.37
110,2020-10-19,625,373.95,291.8,304.76,506.14
111,2020-10-20,819,391.82,300.03,318.59,533.61
112,2020-10-21,1033,418.28,311.62,338.54,576.97
113,2020-10-22,1207,452.51,319.54,370.21,626.33
114,2020-10-23,1210,481.12,337.23,386.49,678.89
115,2020-10-24,1012,500.68,350.04,403.38,707.2
116,2020-10-25,940,527.05,349.12,433.04,739.41
117,2020-10-26,978,547.57,361.93,450.71,765.76
118,2020-10-27,1164,582.03,393.64,478.8,811.07
119,2020-10-28,1226,607.03,408.27,499.19,847.47
120,2020-10-29,1325,629.75,415.59,523.34,875.35
121,2020-10-30,1502,659.96,452.18,555.89,897.66
122,2020-10-31,1153,678.74,450.66,568.84,933.77
123,2020-11-01,972,693.14,452.18,586.95,946.74
124,2020-11-02,1120,715.76,469.86,608.04,972.68
125,2020-11-03,1425,743.46,493.65,632.63,1007.95
126,2020-11-04,1461,763.02,510.72,649.95,1031.38
127,2020-11-05,1547,778.56,537.55,661.24,1047.83
128,2020-11-06,1444,789.25,543.96,678.39,1050.62
129,2020-11-07,1245,799.9,543.65,692.39,1060.38
130,2020-11-08,1178,810.78,544.26,704.9,1073.9
131,2020-11-09,1310,825.95,551.58,720.13,1093.28
132,2020-11-10,1401,836.79,551.27,735.53,1101.37
133,2020-11-11,1409,845.15,551.58,747.69,1106.53
134,2020-11-12,1420,849.49,550.67,751.89,1113.36
135,2020-11-13,1243,837.65,531.15,740.78,1104.58
136,2020-11-14,1043,832.63,539.08,741.83,1084.08
137,2020-11-15,801,824.81,541.82,731.94,1075.58
138,2020-11-16,941,816.63,551.88,720.48,1064.56
139,2020-11-17,1050,799.49,539.38,706.13,1040.72
